"ID","version","startDate","patch","match-status","isLive","event","groupname","playoff-stage","overtrackOwnerID","VOD","VODname","bestOf","team1","team2","team1Score","team2Score","newRawdata","matchOfMatches","fatherMatch","privKey","srBefore","srAfter"
"2419","4","2018-01-25 04:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/222010471",,"4","334","333","2","3","0","0",NULL,,"0","0"
"2420","4","2018-01-25 22:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/222311662",,"4","318","332","3","2","0","0",NULL,,"0","0"
"2421","4","2018-01-26 00:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/222311662",,"4","337","336","3","2","0","0",NULL,,"0","0"
"2422","4","2018-01-26 02:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/222311662",,"4","331","335","4","0","0","0",NULL,,"0","0"
"2423","4","2018-01-27 00:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/222700656",,"4","329","336","2","3","0","0",NULL,,"0","0"
"2424","4","2018-01-27 02:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/222700656",,"4","328","337","2","3","0","0",NULL,,"0","0"
"2425","4","2018-01-27 04:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/222823258",,"4","330","338","3","0","0","0",NULL,,"0","0"
"2426","4","2018-01-27 19:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/223040775",,"4","330","318","2","3","0","0",NULL,,"0","0"
"2427","4","2018-01-27 21:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/223074577",,"4","333","335","3","1","0","0",NULL,,"0","0"
"2428","4","2018-01-27 23:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/223105294",,"4","334","331","0","4","0","0",NULL,,"0","0"
"2429","4","2018-02-01 00:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/224468278",,"4","333","337","4","0","0","0",NULL,,"0","0"
"2430","4","2018-02-01 02:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/224500217",,"4","335","334","1","3","0","0",NULL,,"0","0"
"2431","4","2018-02-01 04:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/224524351",,"4","331","338","3","1","0","0",NULL,,"0","0"
"2432","4","2018-02-01 22:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/224757724",,"4","337","330","4","0","0","0",NULL,,"0","0"
"2433","4","2018-02-02 00:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/224790842",,"4","336","328","4","0","0","0",NULL,,"0","0"
"2434","4","2018-02-02 02:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/224827706",,"4","332","329","4","0","0","0",NULL,,"0","0"
"2435","4","2018-02-03 00:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/225132046",,"4","338","335","4","0","0","0",NULL,,"0","0"
"2436","4","2018-02-03 02:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/225173941",,"4","329","331","3","2","0","0",NULL,,"0","0"
"2437","4","2018-02-03 04:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/225197371",,"4","334","318","0","4","0","0",NULL,,"0","0"
"2438","4","2018-02-03 19:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/225402452",,"4","328","332","0","4","0","0",NULL,,"0","0"
"2439","4","2018-02-03 21:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/225444805",,"4","330","336","1","3","0","0",NULL,,"0","0"
"2440","4","2018-02-03 23:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/225482394",,"4","318","333","4","0","0","0",NULL,,"0","0"
"2441","4","2018-02-08 00:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/226813044",,"4","328","330","2","3","0","0",NULL,,"0","0"
"2442","4","2018-02-08 02:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/226844466",,"4","338","334","1","3","0","0",NULL,,"0","0"
"2443","4","2018-02-08 04:00:00",NULL,"2","0","86","Stage 1","0",NULL,"https://www.twitch.tv/videos/226866476",,"4","333","329","3","0","0","0",NULL,,"0","0"
